campaign_objective,ad_placement,device_type,operating_system,creative_format,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit,roas,conversion_rate_calc,platform_Google Ads,platform_Instagram,platform_LinkedIn,platform_TikTok,platform_Twitter
Lead Generation,Search,Mobile,Android,Text,False,Curiosity,72,45-54,Female,Shoppers,<$50K,Medium,False,2024-03-06,18,34,5,2.23,0.07238725471281793,402,-0.6840767384627737,-0.49039579243022574,289.67,67.75,High,0.606,-0.4224451844065292,-0.7229486513479626,448.23,0.32,-606.79,0.32312651986703256,0.004975124378109453,False,False,False,False,False
Conversions,Feed,Desktop,Android,Image,True,Urgency,49,25-34,Male,Shoppers,$50K-$100K,Medium,False,2024-09-17,7,28,7,1.71,0.5565989940645041,2449,1.5645833279233008,0.19921007969784396,26278.99,49.81,Low,2.345,-0.6353612664532673,0.22053120501142903,41.88,6.28,22091.2,6.275145124277961,0.04083299305839118,False,False,False,True,False
Brand Awareness,Stories,Mobile,macOS,Story,True,Joy,70,25-34,Male,Tech Enthusiasts,$100K-$200K,Medium,True,2024-05-11,9,27,5,1.38,-0.4672417192748109,575,-0.5922946949368115,-0.5119681721655626,2363.43,60.94,Medium,2.412,-0.7704810877521587,-0.5795186592375391,132.25,2.98,1569.93,2.978487712665406,0.010434782608695653,False,False,False,False,True
Conversions,Feed,Tablet,iOS,Image,True,Trust,84,55-64,Female,Gamers,<$50K,High,False,2024-06-07,6,26,3,7.72,-0.25910002228210116,211,-0.4316761187663776,-0.33692934661685364,1328.69,27.98,Medium,0.524,1.8254572972023015,0.7674073951131906,125.3,0.82,-300.23,0.8156876949144218,0.061611374407582936,True,False,False,False,False
Lead Generation,Search,Mobile,Windows,Carousel,True,Joy,48,25-34,Female,Tech Enthusiasts,>$200K,Medium,False,2024-07-15,2,62,6,2.49,0.04653942696032117,1309,-0.4775671405293587,0.004694093890812328,6450.42,69.77,Medium,2.036,-0.31598714338316003,-0.6329430416199537,296.31,1.98,3191.01,1.9790146069380656,0.008403361344537815,True,False,False,False,False
Lead Generation,Stories,Mobile,iOS,Video,True,Trust,32,25-34,All,Gamers,$50K-$100K,Low,False,2024-11-01,20,86,4,1.75,0.12151717989545058,5127,1.7710929258567158,1.2016594575973145,28016.44,67.39,Medium,7.304,-0.6189831062958259,-0.29450089509884425,82.31,3.12,19044.19,3.1225656886511186,0.021259996099083283,False,False,False,True,False
Conversions,Display Network,Desktop,Android,Image,True,Joy,22,18-24,All,Business Professionals,>$200K,Medium,False,2025-08-26,14,41,7,2.83,-0.39325469388990003,1062,-0.1104389664255098,-0.048514004727959775,8677.57,56.43,Medium,3.579,-0.1767727820449083,-0.1850203873595118,111.31,2.89,5672.11,2.887268504654861,0.025423728813559324,False,False,False,False,False
Brand Awareness,Feed,Desktop,macOS,Image,False,Urgency,10,35-44,Male,Health & Fitness,<$50K,High,False,2025-08-05,21,39,4,3.2,-0.11613041580440903,640,-0.20222100995147202,-0.2491228887741483,4816.3,38.19,Medium,1.243,-0.025274800588575397,0.09183897355822324,89.04,2.35,2768.3,2.351708984375,0.0359375,True,False,False,False,False
Conversions,Display Network,Tablet,iOS,Carousel,True,Trust,62,18-24,All,Business Professionals,$50K-$100K,Low,True,2024-09-15,8,15,7,0.86,-0.39983414095417197,865,-0.08749345554401924,-0.5223604607715523,9671.13,62.31,Low,2.967,-0.9833971697988968,-0.0021142506315403914,26.57,13.0,8927.23,13.00057803468208,0.03236994219653179,False,False,False,False,False
App Installs,Stories,Tablet,iOS,Text,True,Neutral,57,65+,Female,Health & Fitness,$100K-$200K,Medium,False,2024-07-03,2,28,6,0.74,-0.31181180860783164,168,-0.6611312275812832,-0.6521760691283895,583.31,41.49,Medium,0.466,-1.032531650271221,-0.3839801562319525,41.44,4.69,458.99,4.692004504504505,0.017857142857142856,False,False,False,False,False
