campaign_objective,platform,ad_placement,device_type,operating_system,creative_format,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit
Lead Generation,Facebook,Search,Mobile,Android,Text,False,Curiosity,72,45-54,Female,Shoppers,<$50K,Medium,False,2024-03-06,18,34,5,2.23,66329,402,2,896.46,289.67,67.75,High,0.606,2.23,0.498,448.23,0.32,-606.79
Conversions,TikTok,Feed,Desktop,Android,Image,True,Urgency,49,25-34,Male,Shoppers,$50K-$100K,Medium,False,2024-09-17,7,28,7,1.71,104451,2449,100,4187.79,26278.99,49.81,Low,2.345,1.71,4.083,41.88,6.28,22091.2
Brand Awareness,Twitter,Stories,Mobile,macOS,Story,True,Joy,70,25-34,Male,Tech Enthusiasts,$100K-$200K,Medium,True,2024-05-11,9,27,5,1.38,23844,575,6,793.5,2363.43,60.94,Medium,2.412,1.38,1.043,132.25,2.98,1569.93
Conversions,Google Ads,Feed,Tablet,iOS,Image,True,Trust,84,55-64,Female,Gamers,<$50K,High,False,2024-06-07,6,26,3,7.72,40231,211,13,1628.92,1328.69,27.98,Medium,0.524,7.72,6.161,125.3,0.82,-300.23
Lead Generation,Google Ads,Search,Mobile,Windows,Carousel,True,Joy,48,25-34,Female,Tech Enthusiasts,>$200K,Medium,False,2024-07-15,2,62,6,2.49,64294,1309,11,3259.41,6450.42,69.77,Medium,2.036,2.49,0.84,296.31,1.98,3191.01
Lead Generation,TikTok,Stories,Mobile,iOS,Video,True,Trust,32,25-34,All,Gamers,$50K-$100K,Low,False,2024-11-01,20,86,4,1.75,70197,5127,109,8972.25,28016.44,67.39,Medium,7.304,1.75,2.126,82.31,3.12,19044.19
Conversions,Facebook,Display Network,Desktop,Android,Image,True,Joy,22,18-24,All,Business Professionals,>$200K,Medium,False,2025-08-26,14,41,7,2.83,29669,1062,27,3005.46,8677.57,56.43,Medium,3.579,2.83,2.542,111.31,2.89,5672.11
Brand Awareness,Google Ads,Feed,Desktop,macOS,Image,False,Urgency,10,35-44,Male,Health & Fitness,<$50K,High,False,2025-08-05,21,39,4,3.2,51487,640,23,2048.0,4816.3,38.19,Medium,1.243,3.2,3.594,89.04,2.35,2768.3
Conversions,Facebook,Display Network,Tablet,iOS,Carousel,True,Trust,62,18-24,All,Business Professionals,$50K-$100K,Low,True,2024-09-15,8,15,7,0.86,29151,865,28,743.9,9671.13,62.31,Low,2.967,0.86,3.237,26.57,13.0,8927.23
App Installs,Facebook,Stories,Tablet,iOS,Text,True,Neutral,57,65+,Female,Health & Fitness,$100K-$200K,Medium,False,2024-07-03,2,28,6,0.74,36081,168,3,124.32,583.31,41.49,Medium,0.466,0.74,1.786,41.44,4.69,458.99
Lead Generation,Google Ads,Stories,Mobile,Android,Image,True,Neutral,64,25-34,Female,Tech Enthusiasts,$50K-$100K,Medium,False,2025-11-17,16,32,7,3.86,62056,2232,171,8615.52,20747.88,51.09,High,3.597,3.86,7.661,50.38,2.41,12132.36
Lead Generation,Google Ads,In-Stream Video,Mobile,macOS,Interactive,True,Joy,23,25-34,Female,Business Professionals,<$50K,Medium,False,2025-08-25,20,25,6,7.52,5413,168,2,1263.36,196.05,62.34,Medium,3.104,7.52,1.19,631.68,0.16,-1067.31
Lead Generation,LinkedIn,Feed,Mobile,Windows,Interactive,True,Urgency,56,25-34,Female,Students,<$50K,Low,False,2025-09-21,6,9,6,6.92,161089,5433,54,37596.36,8508.89,80.25,High,3.373,6.92,0.994,696.23,0.23,-29087.47
Lead Generation,Google Ads,Feed,Mobile,macOS,Interactive,False,Trust,10,18-24,All,Students,>$200K,High,False,2024-09-04,16,61,7,3.86,22408,644,10,2485.84,2527.74,37.63,Low,2.874,3.86,1.553,248.58,1.02,41.9
App Installs,TikTok,Stories,Tablet,Android,Story,True,Neutral,43,35-44,All,Tech Enthusiasts,$100K-$200K,Low,False,2025-05-28,20,13,8,1.59,78005,1376,16,2187.84,5239.62,57.6,Medium,1.764,1.59,1.163,136.74,2.39,3051.78
Conversions,Twitter,Stories,Mobile,Windows,Carousel,True,Neutral,50,18-24,All,Shoppers,$50K-$100K,Low,False,2024-11-03,14,37,6,1.27,34440,2729,59,3465.83,8391.63,62.34,Medium,7.924,1.27,2.162,58.74,2.42,4925.8
Lead Generation,LinkedIn,Stories,Mobile,Android,Video,True,Fear,70,25-34,Female,Business Professionals,$50K-$100K,Low,True,2024-11-03,10,68,5,2.78,5916,398,19,1106.44,6436.21,84.35,Medium,6.728,2.78,4.774,58.23,5.82,5329.77
Lead Generation,TikTok,Search,Desktop,iOS,Text,False,Joy,77,25-34,Female,Tech Enthusiasts,>$200K,Low,False,2024-04-24,15,33,5,1.87,14801,165,1,308.55,310.83,47.13,Medium,1.115,1.87,0.606,308.55,1.01,2.28
Conversions,LinkedIn,Feed,Desktop,Windows,Video,True,Joy,35,25-34,All,Tech Enthusiasts,$50K-$100K,Medium,False,2025-01-14,3,81,7,4.66,7475,237,8,1104.42,1354.72,44.78,Medium,3.171,4.66,3.376,138.05,1.23,250.3
Lead Generation,Facebook,Feed,Desktop,Windows,Video,False,Urgency,23,18-24,Male,Tech Enthusiasts,$50K-$100K,Medium,True,2025-08-16,6,82,5,2.69,51672,2465,117,6630.85,28180.67,50.56,Medium,4.77,2.69,4.746,56.67,4.25,21549.82
Lead Generation,Google Ads,In-Stream Video,Desktop,Android,Image,False,Neutral,7,45-54,Female,Business Professionals,$50K-$100K,Low,False,2024-10-29,15,46,4,1.85,67436,2506,184,4636.1,26115.38,56.31,Medium,3.716,1.85,7.342,25.2,5.63,21479.28
Lead Generation,Facebook,Search,Mobile,macOS,Carousel,True,Joy,72,35-44,All,Business Professionals,$100K-$200K,Low,False,2024-11-23,7,54,4,2.97,21566,645,19,1915.65,4638.86,73.52,Low,2.991,2.97,2.946,100.82,2.42,2723.21
Brand Awareness,Google Ads,Stories,Desktop,Other,Story,True,Fear,37,25-34,Male,Business Professionals,<$50K,High,False,2025-08-01,4,14,4,4.61,45054,880,132,4056.8,26172.57,10.0,High,1.953,4.61,15.0,30.73,6.45,22115.77
Conversions,Google Ads,Search,Desktop,Windows,Carousel,True,Fear,81,45-54,Male,Shoppers,$50K-$100K,Medium,False,2024-12-01,1,34,4,8.11,31374,616,136,4995.76,39273.67,43.44,Low,1.963,8.11,22.078,36.73,7.86,34277.91
Lead Generation,Twitter,Sidebar,Mobile,Android,Carousel,True,Curiosity,56,45-54,All,Business Professionals,$50K-$100K,Medium,False,2025-02-18,1,34,7,2.41,214044,2908,19,7008.28,4711.16,71.71,High,1.359,2.41,0.653,368.86,0.67,-2297.12
Lead Generation,Google Ads,Search,Mobile,Other,Image,True,Curiosity,57,18-24,Female,Health & Fitness,>$200K,High,True,2024-07-15,17,69,5,2.11,63932,952,59,2008.72,23935.85,42.24,Low,1.489,2.11,6.197,34.05,11.92,21927.13
Lead Generation,Twitter,Feed,Mobile,iOS,Image,False,Fear,46,25-34,All,Health & Fitness,$100K-$200K,Medium,False,2025-04-30,20,76,5,1.89,16049,143,0,270.27,0.0,66.97,Low,0.891,1.89,0.0,0.0,0.0,-270.27
Lead Generation,LinkedIn,Search,Desktop,Other,Image,True,Trust,68,18-24,Male,Tech Enthusiasts,$50K-$100K,Medium,True,2025-12-17,6,67,6,8.65,30686,1340,238,11591.0,33069.77,33.29,Medium,4.367,8.65,17.761,48.7,2.85,21478.77
Lead Generation,LinkedIn,Display Network,Tablet,iOS,Carousel,True,Urgency,46,18-24,All,Business Professionals,$50K-$100K,Medium,False,2025-07-04,22,54,8,5.17,17456,515,14,2662.55,4599.87,47.63,Medium,2.95,5.17,2.718,190.18,1.73,1937.32
Lead Generation,Facebook,Feed,Desktop,macOS,Image,True,Joy,41,25-34,Female,Students,<$50K,Low,False,2024-07-26,11,79,7,1.78,17043,498,12,886.44,1279.91,58.37,Medium,2.922,1.78,2.41,73.87,1.44,393.47
Conversions,Google Ads,Stories,Mobile,macOS,Video,True,Trust,71,55-64,All,Students,$100K-$200K,Medium,False,2024-04-14,7,89,3,2.26,120231,1266,46,2861.16,18826.53,49.63,Medium,1.053,2.26,3.633,62.2,6.58,15965.37
Conversions,LinkedIn,In-Stream Video,Mobile,macOS,Video,True,Fear,5,25-34,Female,Shoppers,$50K-$100K,Low,False,2025-08-24,7,55,9,5.99,241412,8347,170,49998.53,26566.56,57.37,High,3.458,5.99,2.037,294.11,0.53,-23431.97
Conversions,Facebook,Search,Tablet,Android,Image,False,Urgency,42,45-54,Female,Tech Enthusiasts,<$50K,High,True,2025-01-01,20,73,5,1.81,58593,676,32,1223.56,4393.81,27.86,Medium,1.154,1.81,4.734,38.24,3.59,3170.25
Conversions,Google Ads,Feed,Tablet,Other,Story,False,Trust,72,25-34,Female,Tech Enthusiasts,<$50K,Medium,False,2024-06-15,1,48,1,6.46,10992,37,1,239.02,237.56,47.55,Medium,0.337,6.46,2.703,239.02,0.99,-1.46
Lead Generation,Facebook,Stories,Mobile,Windows,Carousel,True,Urgency,88,35-44,Male,Business Professionals,$100K-$200K,Low,False,2025-10-28,6,44,5,2.4,98165,2083,80,4999.2,28009.82,58.96,Low,2.122,2.4,3.841,62.49,5.6,23010.62
Conversions,Facebook,Display Network,Desktop,iOS,Story,True,Joy,27,35-44,Female,Business Professionals,<$50K,Medium,False,2024-07-03,12,67,7,1.95,6556,215,6,419.25,1559.24,35.22,Low,3.279,1.95,2.791,69.88,3.72,1139.99
Brand Awareness,Google Ads,Feed,Tablet,macOS,Video,True,Neutral,60,65+,All,Health & Fitness,>$200K,Low,False,2024-08-11,15,89,5,4.32,67932,813,14,3512.16,4616.07,52.67,Low,1.197,4.32,1.722,250.87,1.31,1103.91
Lead Generation,Facebook,Feed,Mobile,iOS,Video,True,Trust,12,35-44,Female,Business Professionals,<$50K,Medium,True,2024-05-04,13,88,6,0.73,45355,1421,52,1037.33,6352.19,62.82,Low,3.133,0.73,3.659,19.95,6.12,5314.86
Conversions,Google Ads,Stories,Mobile,Windows,Image,False,Urgency,45,25-34,Female,Gamers,$50K-$100K,High,False,2024-01-12,21,25,4,3.73,58475,500,11,1865.0,3510.88,45.5,High,0.855,3.73,2.2,169.55,1.88,1645.88
Brand Awareness,TikTok,Feed,Mobile,Android,Image,False,Urgency,61,25-34,Male,Tech Enthusiasts,$100K-$200K,High,False,2024-06-24,18,85,5,1.95,59788,566,2,1103.7,742.41,55.44,Medium,0.947,1.95,0.353,551.85,0.67,-361.29
Brand Awareness,Facebook,Search,Mobile,Windows,Image,True,Joy,40,35-44,Female,Students,$50K-$100K,High,False,2025-06-20,21,7,8,0.76,97823,1872,51,1422.72,17819.05,23.96,High,1.914,0.76,2.724,27.9,12.52,16396.33
App Installs,Facebook,In-Stream Video,Desktop,iOS,Interactive,False,Fear,34,45-54,Female,Business Professionals,$50K-$100K,Low,True,2024-07-16,21,59,6,1.18,53712,1722,44,2031.96,7313.09,45.02,High,3.206,1.18,2.555,46.18,3.6,5281.13
App Installs,Facebook,Sidebar,Desktop,Android,Video,False,Urgency,27,25-34,Female,Gamers,$100K-$200K,Low,False,2025-05-13,0,86,8,2.83,15177,1174,17,3322.42,5348.03,85.97,Medium,7.735,2.83,1.448,195.44,1.61,2025.61
Conversions,Twitter,Search,Mobile,Windows,Image,True,Trust,2,45-54,Female,Shoppers,<$50K,Medium,True,2024-08-19,7,9,7,2.0,38027,499,15,998.0,3848.28,55.93,Medium,1.312,2.0,3.006,66.53,3.86,2850.28
